property_name,additional_info,address,area,city,hotel_category,hotel_facilities,hotel_star_rating,province,review_count_by_category,room_count,room_facilities,room_type,site_review_rating,state
Hotel Sea Coast,Room Service|Restaurant,"Barister Colony ,old digha ,purba madurai",Old Digha,Digha,regular,Bar / Lounge |Doctor on Call|Multi Cuisine Restaurant |Major Credit Cards Accepted|Gardens|Conference Facility |Car Rental|Guide / Sightseeing Service|Room Service,3,Digha,positive reviews::13|critical reviews::3|reviews with images::3,34,Room Service |Air Conditioning | Hot / Cold Running Water|TV|Attached Bathroom,Standard  AC Room,3.7,West Bengal
Hotel Satya Ashoka,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant|Free Internet,WRIGHT TOWN JABALPUR Madhya Pradesh,Napier Town,Jabalpur,regular,"Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Doctor on Call|Dry Cleaning|Gift Shop |Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Air-Conditioning - Central|Power Backup|Wedding Services Facility|Catering|Wake-up Call / Service|Coffee Shop / Cafe|Conference Facility |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Transfers Available|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|Air / Rail Booking|Baggage Room|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service",4,Jabalpur,positive reviews::17|critical reviews::4|reviews with images::2,51,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Tea Coffee Kettle / Maker|Internet Connection In Room|Refrigerator|Telephone|Shower Facility Available|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Makeup / Shaving Mirror|Sofa Cum Bed Available|Moisturiser|Handheld Showers|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Mirror|Mini Refrigerator|Dressing Area|Luggage Rack|Attached Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Telephone in Toilet|Western Toilet Seat",Ashoka Grand,4.1,Madhya Pradesh
Hotel Satya Raksha,Room Service,Sagda 1 km from Medical College Jabalpur. also near gyan ganga college jabalpur,Medical College Area,Jabalpur,regular,Banquet Facilities|Parking Facilities Available|Front Desk|Gardens|Wedding Services Facility|Children's Park|Room Service (24 Hours)|Party hall|Parking Facility,2,Jabalpur,positive reviews::9|critical reviews::7|reviews with images::1,40,"Room Service |Air Conditioning |Ceiling Fan|Crockery / Cutlery|Telephone|Shower Facility Available|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Coffee Table|Sofa Table / Extra Seats |TV|Mirror|Utensils (on request)|Luggage Rack|Attached Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat",A/C Deluxe Room,2.8,Madhya Pradesh
Hotel Shri Amarnath Lodge,,"Trikuta Nagar,Near Railway Station",Others,Jammu,regular,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup,0,Jammu,,17,Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Toiletries|TV|Mirror,Double Room,,Jammu and Kashmir
Hotel Shiraz Regency,Room Service|Internet Access,"12 Khanpuri Gate, Model colony","12 Khanpuri Gate, Model Colony",Hoshiarpur,regular,Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Banquet Facilities|Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk,1,Hoshiarpur,,20,"Room Service |Balcony / Terrace|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Attached Bathroom",delux room,,Punjab
Hotel Satellite Inn,Room Service,"2nd Floor, Dev priya complex, Near titanium city centre, opp. Natraj medical Store, Prahlad nagar road, Ahmedabad",S.G. Road,Ahmedabad,regular,Doctor on Call|Front Desk|Parking Facility|Room Service|Public Restrooms,0,Ahmedabad,,10,Room Service |Housekeeping|Mirror|Daily Room Cleaning|Dustbins,Standard Room,,Gujarat
Hotel Shree,,"Opposite Malgodam Railway Colony, 63/54, Leader Rd, Allahabad, Uttar Pradesh 211003",Railway Station Area,Allahabad,regular,Doctor on Call|Front Desk|Power Backup,0,Allahabad,,16,,Standard Room,,Uttar Pradesh
Hotel Santi,,"BUS-STAND, ANGUL",New Bus Stand,Angul,regular,,2,Angul,,40,Attached Bathroom,EXECUTIVE,,Orissa
Hotel Shubham Palace,Room Service|Restaurant,"N H 15 Near LIC Sindhari Choraha,.",Others,Barmer,regular,Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Outdoor Parking - Secured|Room Service,1,Barmer,positive reviews::2|critical reviews::2|reviews with images::0,29,"Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Patio - Property|TV|Mirror|Attached Bathroom|Bedside Table|Western Toilet Seat",Deluxe Room,2.8,Rajasthan
Hotel Sea View,Room Service,"Next to police station, La Citadel Colony, Dona Paula, Goa 403004",Panjim Area,Goa,regular,Doctor on Call|Front Desk|Room Service|First-Aid Kit at Front Desk|Public Restrooms,0,Goa,positive reviews::3|critical reviews::1|reviews with images::1,13,Alarm Clock|Basic Bathroom Amenities|Ceiling Fan,AC Room,3.1,Goa
Hotel Shiva,,"Station Road, Bhagalpur City, Bhagalpur, Near Lohia pool",Station Road,Bhagalpur,regular,Doctor on Call,0,Bhagalpur,,3,Room Service |Basic Bathroom Amenities|Attached Bathroom,Deluxe AC Room,,Bihar
Hotel Shraddha,Room Service,"Chwanni, Banda - 210001, Next To Union Bank Of India",Chawani,Banda,regular,Non Smoking Rooms|Parking Facilities Available|Catering|Smoking Rooms|Extra Person / Child - Share the same room|Food Facility|Adjoining Rooms|Room Service|Public Restrooms,0,Banda,,20,Basic Bathroom Amenities|Ceiling Fan|TV|Attached Bathroom|Dustbins|Sufficient Lighting,A/C Room,,Uttar Pradesh
Hotel Shilpa Retreat,,"M C Road, Ayoor  Thiruvananthapuram","Others,Thiruvananthapuram",Thiruvananthapuram,regular,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk,0,Thiruvananthapuram,,2,Room Service |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,STANDARD ROOM,,Kerala
Hotel Sikar Haveli-Heritage Home,Room Service|Internet Access|Restaurant,"Behind Sikar House,Near Shiv Marg ,Bani Park",Bani Park,Jaipur,regular,"Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Gardens|Computer Rental|Wake-up Call / Service|Conference Facility |Smoking Rooms|Fax Machine|Free Local Calls|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Open Air Restaurant / Dining |Transfers Available|Car Rental|Taxi Services|City Shuttle Service|Food Facility|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)",0,Jaipur,positive reviews::1|critical reviews::1|reviews with images::0,15,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Attached Bathroom,Deluxe Room,3.1,Rajasthan
Hotel Shiwalik,Room Service,Parwanoo,Sector 2,Parwanoo,regular,Doctor on Call|Parking Facilities Available|Power Backup|Room Service (24 Hours)|RO Water Purification System,0,Parwanoo,positive reviews::5|critical reviews::1|reviews with images::1,23,,Suite AC Room,3.7,Himachal Pradesh
Hotel Sidhartha,Room Service|Gym/Spa|Restaurant|Free Internet,"Railway Station Road, Chalakudi, Thrissur Kerala",Chalakudy,Thrissur,regular,Bar / Lounge |Business Center |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Internet Access Free|Room Service (24 Hours)|Parking Facility|Room Service|Public Restrooms,0,Thrissur,,4,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Mineral Water|Attached Bathroom,Executive Deluxe,,Kerala
hotel shivam ajency,Room Service,"XZ-519, SOHNA ROAD, SECTOR-49, GURGAON,",SOHNA ROAD,Gurgaon,regular,Business Center |Parking Facilities Available|Parking Facility,0,Gurgaon,,5,,Deluxe Room,,Haryana
Hotel Silver Line,Room Service|Internet Access,"Opp.sheetal motors Ahmedabad, Sarkhej Rd, Juhapura, Ahmedabad, Gujarat 382210",S.G. Road,Ahmedabad,regular,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|24 Hour Front Desk|Luggage Storage|Wake-up Call / Service|Room Service (24 Hours)|Parking Facility,0,Ahmedabad,,15,Room Service |Basic Bathroom Amenities|Ceiling Fan|Telephone|Shower Facility Available|Newspapers| Hot / Cold Running Water|Housekeeping|TV|Mirror|Luggage Rack|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|In-Room Safe|Sufficient Lighting|Western Toilet Seat,Deluxe,,Gujarat
Hotel Seven Sky,,"Post Box No. 30, Seven Sky Ring Road",Seven Sky Ring Road,Bhuj,regular,Doctor on Call|Laundry Service Available|Parking Facilities Available,3,Bhuj,,58,,Grand Deluxe Room,,Gujarat
Hotel Shagun,Room Service,"Barnala Bypass Road, Bhatinda City, Bhatinda - 151005, Opposite Hazura Kapura Colony",Barnala Bypass,Bathinda,regular,Doctor on Call|Parking Facilities Available|Front Desk|Room Service|Public Restrooms,1,Bathinda,,10,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Internet Connection In Room|Telephone|Breakfast Available (surcharge)|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|TV|Dustbins|Sufficient Lighting",Super Deluxe,,Punjab
Hotel Siddharth Residency,Room Service|Internet Access|Restaurant|Free Internet,"E-14, Nirman Nagar, Opp. Asopa Hospital",Ajmer Road,Jaipur,regular,Airport Transfer Available / Surcharge|Banquet Facilities|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Dance Performances (on demand)|Catering|Conference Facility |Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,3,Jaipur,positive reviews::14|critical reviews::8|reviews with images::4,50,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Hairdryer (on request)|Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|Safe - In - Room |Coffee Table|HD / LCD Satellite TV |TV|Attached Bathroom,Executive Room,3.6,Rajasthan
HOTEL SHAH N SHAH,,Aberdeen Bazar,Aberdeen Bazar,Port Blair,regular,Front Desk|Local Tour / Travel Desk,0,Port Blair,positive reviews::0|critical reviews::1|reviews with images::0,30,Cable / Satellite / Pay TV available,NON AC SINGLE,1,Andaman and Nicobar Islands
Hotel Sierra,Room Service|Internet Access|Free Internet,"HotelSierra, Naidu puram, Shanmugha puram",Naidupuram,Kodaikanal,regular,"Doctor on Call|Internet Access - Surcharge|Lobby|Non Smoking Rooms|Parking Facilities Available|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Power Backup|Wake-up Call / Service|Separate Sitting Area|Smoking Rooms|Kitchen available (home cook food on request)|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Taxi Services|Campfire / Bon Fire|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility",2,Kodaikanal,positive reviews::8|critical reviews::0|reviews with images::2,17,"Room Service |Telephone|Shower Facility Available|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Premium Amenities / Toiletries|HD / LCD Satellite TV |Split A.C's|TV|Mirror|Luggage Rack|Attached Bathroom",Deluxe double,4.4,Tamil Nadu
Hotel Satya International,,"Main Road, Belaunji (tali) Waidhan PO. Singrauli Madhya Pradesh, India",Biliunji Wadhan,Singrauli,regular,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk,0,Singrauli,,15,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,Presidencial Suite Room,,Madhya Pradesh
Hotel Savoy,Room Service|Restaurant,Mall Road,Mall Road,Almora,regular,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Conference Facility |Car Rental,2,Almora,positive reviews::1|critical reviews::1|reviews with images::0,20,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|TV,Double Bed Economy,2.5,Uttarakhand
Hotel Sidhartha,Room Service,"Western Gate, Taj Mahal taj ganj near r k studio barrier",Fatehabad Road,Agra,regular,Business Center |Currency Exchange|Laundry Service Available|Front Desk|Locker Facility|Secretarial Services|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Multi Lingual Staff|Fax Machine|Room Service (24 Hours),2,Agra,positive reviews::63|critical reviews::5|reviews with images::7,20,Bathrobe (on request) |Basic Bathroom Amenities|Hairdryer (on request)|Telephone|Newspapers|Safe - In - Room |TV,Standard Room(Non-A/C),4.4,Uttar Pradesh
Hotel Sarojini,,"1/B, Rock Ville Road",Others,Darjeeling,regular,Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Power Backup|Smoking Rooms|Extra Person / Child - Share the same room|Air / Rail Booking|Baggage Room,3,Darjeeling,positive reviews::0|critical reviews::3|reviews with images::0,9,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Mirror|Attached Bathroom,Double Room,1.4,West Bengal
Hotel Sine City,Room Service,"NH-31, Hill Cart Road, Near Hanuman Mandir, Siliguri",Hill Cart Road,Siliguri,regular,Doctor on Call|Front Desk|24 Hour Front Desk|Power Backup|Wake-up Call / Service|Parking Facility|Room Service|Fire Safety|CCTV,1,Siliguri,,26,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Newspapers|Mineral Water|Toiletries|Attached Bathroom,Standard Non A.c,,West Bengal
Hotel Shikhar Palace,Room Service|Internet Access|Restaurant|Free Internet,"Russel Chowk, Napier Town Jabalpur, Jabalpur - 482001",Napier Town,Jabalpur,regular,"Airport Transfer Available / Surcharge|Business Center |Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Air-Conditioning - Central|Power Backup|Wedding Services Facility|Catering|Wake-up Call / Service|Conference Facility |Kitchen available (home cook food on request)|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Open Air Restaurant / Dining |Transfers Available|Vegetarian Food / Jain Food Available|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Internet / Fax (Reception area only)|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service",3,Jabalpur,positive reviews::130|critical reviews::40|reviews with images::21,26,"Room Service |Air Conditioning |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Shower Facility Available|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Sofa Cum Bed Available|Primium Bathrooms|Premium Amenities / Toiletries|Moisturiser|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|TV|Mirror|Utensils (on request)|Dressing Area|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Western Toilet Seat",Deluxe A/c Room,3.7,Madhya Pradesh
Hotel Shiva Grand (Pick up free),Room Service|Internet Access|Restaurant,"54 Old post office Road, Near Collector Office.",City Centre - Main Railway Junction,Coimbatore,regular,Banquet Facilities|Business Center |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Wedding Services Facility|Conference Facility |Newspapers In Lobby|Room Service (24 Hours)|Party hall|Parking Facility|Public Restrooms,2,Coimbatore,positive reviews::9|critical reviews::2|reviews with images::1,15,Room Service |Air Conditioning |Video/ DVD/ CD Player Available|Hairdryer (on request)|Iron / Ironing board available|Internet Connection In Room|Telephone|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Makeup / Shaving Mirror|HD / LCD Satellite TV |Sofa Table / Extra Seats |Mirror|Luggage Rack|Attached Bathroom,Deluxe Room,3.6,Tamil Nadu
Hotel Sifat International,Room Service|Restaurant|Free Internet,"Opp. Surat Railway Station ,Railway Station Main Road, Surat",Railway Station Area,Surat,regular,Airport Transfer Available / Surcharge|Concierge|Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Power Backup|Multi Lingual Staff|Exhibit Space|Suitable For Children|Separate Sitting Area|Electronic / Magnetic Keys|Taxi Services|Internet Access Free|Room Service (24 Hours)|Baggage Room|Outdoor Parking - Secured|Parking Facility|First-Aid Kit at Front Desk,3,Surat,positive reviews::26|critical reviews::1|reviews with images::9,52,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Tea Coffee Kettle / Maker|Telephone|Shower Facility Available|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Makeup / Shaving Mirror|Wardrobe|TV|Mirror|Attached Bathroom|Daily Room Cleaning|Dustbins|Rooms with Attached Bathrooms|Western Toilet Seat",Deluxe Room,4.5,Gujarat
Hotel Shalimar Inn,Room Service|Internet Access|Free Internet,"Shalimar Chowk, Nasik",Nashik Main Town,Nashik,regular,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Locker Facility|Power Backup|Internet Access Free|Outdoor Parking - Secured|Parking Facility|Room Service,2,Nashik,positive reviews::88|critical reviews::9|reviews with images::11,6,Room Service |Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom|Telephone,Super Special Deluxe AC,4.2,Maharashtra
Hotel Saraswati,Room Service,"1046, new basti GT road mughalsarai, chandali, Near Varanasi",Gt Road,Mughalsarai,regular,Doctor on Call|Front Desk|24 Hour Front Desk|Room Service (24 Hours)|Fire Safety|CCTV,0,Mughalsarai,positive reviews::1|critical reviews::0|reviews with images::0,22,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone,Deluxe Ac,5,Uttar Pradesh
Hotel Shreenidhi,Room Service|Free Internet,"Railway Station Road,Dwarka",Shree Dwarkadhish Temple Area,Dwarka,regular,Lobby|Parking Facilities Available|Internet Access Free|Room Service (24 Hours),1,Dwarka,positive reviews::6|critical reviews::6|reviews with images::1,18,Basic Bathroom Amenities|Cable / Satellite / Pay TV available,Deluxe Double Bed,3.4,Gujarat
Hotel Shagun palace,,1-E.C Road Opp. Cross Road Mall Dehradun,Others,Dehradun,regular,Doctor on Call|Lobby|Front Desk|Luggage Storage,3,Dehradun,,15,Alarm Clock|Basic Bathroom Amenities|Video/ DVD/ CD Player Available|Ceiling Fan|Newspapers|Mineral Water| Hot / Cold Running Water,Super Deluxe,,Uttarakhand
Hotel Shivam International,Room Service|Internet Access|Free Internet,1335 Gali Sangatrashan near punjab and sindh bank Paharganj New delhi,Paharganj,Delhi,regular,"Airport Transfer Available / Surcharge|Beauty Salon - on charge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Front Desk|Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Power Backup|Wake-up Call / Service|Separate Sitting Area|ATM / Banking|Electronic / Magnetic Keys|Multi - Line Phone|Floor Butler|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Transfers Available|Car Rental|Express Laundry|Taxi Services| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Air / Rail Booking|Baggage Room|Courier Service|Internet / Fax (Reception area only)|RO Water Purification System|Internet Access|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Hotel Trading License|Metal Detectors|Pest Control Facility",2,Delhi,positive reviews::393|critical reviews::115|reviews with images::54,39,"Room Service |Air Conditioning |Alarm Clock|Balcony / Terrace|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Iron / Ironing board available|Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Slippers|Coffee Table|Wardrobe|HD / LCD Satellite TV |International Switch Plugs (on request)|TV|Room Heater|Mirror|Utensils (on request)|Electronic Weighing Machine|Attached Bathroom|Daily Room Cleaning|Room with Window/Ventilation|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable",Budget Non Ac Room,3.8,Delhi
Hotel Shivaal's Residency,Room Service|Free Internet,"#793/1, 17th E Main, 59th Cross, 5th Block, Near Bashyam Circle, Rajajinagar Bangalore",Others,Bangalore,regular,Lift / Elevator|Front Desk|Internet Access Free|Room Service (24 Hours),1,Bangalore,positive reviews::73|critical reviews::16|reviews with images::17,17,Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Newspapers| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|TV|Mirror|Attached Bathroom,Executive Non Ac,4.1,Karnataka
HOTEL SHIV PALACE,Room Service,"SHIV PALACE 36-SAHARNPUR CHOK OPP. 9,DR. KOHLI, ORTH.Uttarkhand, Dehradun India",Saharanpur Road,Dehradun,regular,Doctor on Call|Laundry Service Available|Parking Facilities Available|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|Fire Safety|Recreation Zone|Anti-Slip Ramps|CCTV|First-Aid Kit at Front Desk,0,Dehradun,positive reviews::1|critical reviews::1|reviews with images::0,12,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Primium Bathrooms|Mirror|Complete Bedding|Daily Room Cleaning|Dustbins|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin,AC ROOM,2.5,Uttarakhand
Hotel Sigma Palace,Room Service|Internet Access|Free Internet,"Mukhtyarganj Road , Satna Ho, Satna - 485001",Banna Road,Satna,regular,Doctor on Call|Dry Cleaning|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Public Restrooms,0,Satna,,6,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|TV|Mirror|Luggage Rack|Attached Bathroom|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|In-Room Safe",AC Room,,Madhya Pradesh
Hotel Sarita,Room Service|Internet Access,"Gulambaba Mill Compound, Opp. RLY Station road ,Surat-03",Railway Station Area,Surat,regular,Banquet Facilities|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|Power Backup|Conference Facility |Food Facility|Room Service (24 Hours)|Parking Facility|Room Service,2,Surat,positive reviews::191|critical reviews::19|reviews with images::30,23,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone| Hot / Cold Running Water,Super Deluxe Non AC,4.1,Gujarat
Hotel Shubh,Room Service|Internet Access|Restaurant|Free Internet,"Labh Complex, Fafadih Chowk",Labh Complex,Raipur,gostays,Business Center |Doctor on Call|Front Desk|Local Tour / Travel Desk|Medical Assistance Available|Conference Facility |Transfers Available|Board Room|Internet Access Free|Newspapers In Lobby|Parking Facility|Internet Access|Restaurant|Room Service,3,Raipur,positive reviews::96|critical reviews::14|reviews with images::14,46,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Breakfast Available,Executive Deluxe Room,3.9,Chhattisgarh
